Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71622005498,1.17681E+11,2.61228E+11,2.71089E+11,3.69383E+11,5.05827E+11,4.35481E+11,,,,
Angola,AGO,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3374521503,20029766551,57193227496,1.40549E+11,3.44239E+11,3.17673E+11,6.71073E+11,8.01244E+11,1.04248E+12,1.48715E+12,1.42264E+12,1.97541E+12,2.80074E+12,2.86673E+12,,,,
Albania,ALB,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57427000000,70476869000,84761692000,1.15583E+11,,,,1.51597E+11,1.55211E+11,1.68141E+11,,,,,,,,,,,,
Arab World,ARB,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17521000000,18200000000,19228000000,,,,,,,,,,,,53129057490,58444661620,57465244938,57670465806,,
Argentina,ARG,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6668E+11,3.23511E+11,4.07003E+11,4.55489E+11,5.36714E+11,7.54312E+11,7.49658E+11,7.95755E+11,8.52607E+11,9.11898E+11,,,,
American Samoa,ASM,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477600000,482600000,547500000,497400000,553000000,563300000,684100000,749600000,766300000,781700000,676200000,714700000,671500000,,,,
Australia,AUS,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,8045000000,9198000000,10952000000,15159000000,19710000000,22724000000,25741000000,28146000000,31452000000,35897000000,40963000000,48442000000,56568000000,62228000000,68157000000,73575000000,78538000000,81699000000,88289000000,96214000000,1.03435E+11,1.10919E+11,1.17084E+11,,,,,1.52355E+11,1.59233E+11,1.85903E+11,1.99464E+11,2.07082E+11,2.2136E+11,2.36394E+11,2.48822E+11,2.66189E+11,2.86655E+11,3.33487E+11,3.47413E+11,3.66281E+11,3.91523E+11,3.96901E+11,4.19834E+11,,
Austria,AUT,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,9603715035,11596404148,13338371983,15772911928,17708916230,19448703880,22167394606,23935524662,25825745078,28417985073,30923017667,33343023045,35297195555,37113289681,39858869356,42047048393,44472140869,45757723305,48955328009,53150003997,57170265183,62370006468,65343052114,85112680000,88031050000,88770660000,91780640000,95008870000,97715320000,1.01686E+11,1.0312E+11,1.05599E+11,1.16597E+11,1.15438E+11,1.19783E+11,1.23627E+11,1.29656E+11,1.36523E+11,1.36267E+11,1.39945E+11,1.45758E+11,1.49813E+11,1.57099E+11,,
Azerbaijan,AZE,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128138600,423067800,431967800,512319600,645726600,717629200,,,,,,,,,7428500000,8216400000,8863500000,9623900000,12145100000,,,,
Burundi,BDI,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48791000000,62473000000,64391000000,58858000000,59037000000,59765000000,,88357300000,94029300000,,,,,,,,,,,,,,,,,
Belgium,BEL,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96126200000,98628000000,1.00402E+11,1.03437E+11,1.06143E+11,1.09548E+11,1.14194E+11,1.13276E+11,1.19764E+11,1.21527E+11,1.35477E+11,1.31934E+11,1.38654E+11,1.48229E+11,1.53998E+11,1.58427E+11,1.68749E+11,1.77483E+11,1.79E+11,1.81233E+11
Benin,BEN,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06027E+11,2.29987E+11,2.72847E+11,2.69956E+11,3.06344E+11,3.35744E+11,3.45181E+11,4.19128E+11,4.42623E+11,4.59011E+11,4.57661E+11,5.3467E+11,5.775E+11,
Burkina Faso,BFA,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49878E+11,2.55847E+11,2.9265E+11,3.30694E+11,3.85677E+11,4.49415E+11,4.53634E+11,4.99075E+11,5.29961E+11,6.28254E+11,8.28666E+11,8.18972E+11,8.86632E+11
Bangladesh,BGD,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28781E+11,2.47877E+11,2.72945E+11,2.91494E+11,3.47751E+11,4.02025E+11,4.7628E+11,5.92771E+11,6.96018E+11,7.39019E+11,9.0149E+11,,,
Bulgaria,BGR,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24291000,53429000,79414000,130570000,229767000,347049000,818583000,5411510000,6658747690,7379862800,8645226730,9293078200,10533245000,11710994000,13426066000,14395981000,15636880000,18080828000,20624206978,21631037000,21754448000,23727828000,25022901000,,
Bahrain,BHR,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421400000,429600000,465500000,511300000,528600000,514300000,510100000,542900000,556700000,599300000,678200000,703400000,836200000,868900000,957700000,1039550000,1133420000,1307720000,1567820000,1704470000,1882160000,2434849996,,2857462000,
"Bahamas, The",BHS,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5757059240,6818055884,8133827300,9654217923,9875898631,9933764183,9998994544,10235423709,10006030874,10928784860
Belarus,BLR,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29100000,358200000,5327400000,34893300000,53184400000,99830600000,1.8189E+11,8.18816E+11,2.31452E+12,4.61462E+12,6.45051E+12,1.0316E+13,1.46325E+13,1.96833E+13,2.56932E+13,3.36753E+13,4.40644E+13,4.51479E+13,5.14934E+13,7.81917E+13,1.51265E+14,,
Belize,BLZ,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137330000,150770000,188768000,220970000,245139000,231281000,239929000,256439000,273001000,291251000,297371000,375097000,368935000,477813000,537994000,558103000,624377000,660022000,637048000,673413000,706379000,733949000,708005000,,
Bermuda,BMU,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,911000000,1087100000,1262000000,1658400000,2191700000,2779600000,3866100000,4984100000,5244300000,5707800000,7069000000,8199200000,9212900000,9874000000,10673200000,13041420000,16315688264,17461782696,18946100000,20013216364,21962623252,22467377442,,,,,,,
Brazil,BRA,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3948218.182,14149636.36,182565709.1,5146909091,1.14916E+11,,,2.07704E+11,2.1946E+11,2.3614E+11,2.56223E+11,2.97119E+11,3.36873E+11,4.24134E+11,4.4442E+11,5.50656E+11,6.44678E+11,7.12948E+11,8.12777E+11,8.51259E+11,1.00619E+12,1.0899E+12,1.17085E+12,,
Barbados,BRB,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1732120000,1777000000,2146850287,2268689957,2734966561,2956990389,3035555520,3112335695,3006152565,3274721140,3322374972,
