Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.883364339,5.229755775,6.039428306,8.434997714,9.123651121,8.854568097,7.471638846,,,,
Angola,AGO,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.11934686,39.66039537,31.18798794,26.00490864,27.82893277,26.52057826,26.39244379,34.49105605,25.53270323,30.49022455,19.16599017,19.54424482,19.94459642,18.83667616,,,,
Albania,ALB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.42276821,8.553602235,9.479292858,13.70163251,,,,16.16084313,16.79084231,17.64535942,,,,,,,,,,,,
Arab World,ARB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.992336344,1.075872392,1.122447005,,,,,,,,,,,,0.323387355,0.364917419,0.373239965,0.359005439,,
Argentina,ARG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.99978702,13.99640565,14.33566341,14.39598656,15.96253173,17.32175873,16.50586323,17.0700514,17.21941905,17.49164155,,,,
American Samoa,ASM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.40507783,15.22138499,16.30031569,16.89601657,17.61241603,16.89621945,18.51943874,19.84782073,19.03324842,17.60349344,18.80327418,18.07406867,18.57519236,,,,
Australia,AUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,17.88036265,17.05727333,18.09609191,19.92038597,20.34876729,20.58176969,20.45376484,19.81599494,20.45787887,21.50707366,21.62945996,21.76047657,21.04824004,22.550063,22.615808,23.2626263,23.1675328,22.67395702,22.46402993,22.35623109,20.65722926,19.99220665,20.00771514,,,,,22.4715152,23.09195312,24.81647597,23.55532607,24.33135178,24.32990026,24.85310691,24.58242025,24.1114406,24.25070526,22.09050911,20.60160534,20.43318355,21.31818871,22.19711188,22.18331947,,
Austria,AUT,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,17.93198365,18.24089311,18.44176715,18.05441844,17.9054666,18.04275804,18.82289417,18.59491151,18.62286713,18.99558604,18.23434694,18.07613414,19.00987218,18.14750135,18.01573656,17.76287483,18.60762651,17.84874941,18.02450427,18.21104894,18.96616999,18.98118138,18.38987422,24.34844279,25.69408852,26.5566486,26.65154082,26.36415312,25.97787427,27.7245378,26.71398678,26.46478086,26.07641448,25.32034698,24.88543144,25.25146459,25.94544542,25.06036933,25.04250282,25.21089635,25.71533618,26.16969237,26.447893,,
Azerbaijan,AZE,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.56070903,17.95407255,9.85031325,10.69387768,12.6792613,12.73352618,,,,,,,,,16.42117537,14.10670899,12.15777699,12.22476095,12.95582924,,,,
Burundi,BDI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.14266298,15.12278396,14.92891631,15.61605477,16.67820658,13.43899658,11.42036173,14.34765867,13.59744181,,,,,,,,,,,,,,,,,
Belgium,BEL,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4859746,25.83040817,26.34746359,26.94686341,26.79739258,27.07979955,26.64006652,25.54323524,24.94913971,25.37623322,25.35329603,25.16965548,24.71093344,25.08749781,23.62061007,24.33389665,24.71132084,25.71352985,26.14760298,26.12350403
Benin,BEN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.68722108,14.41254927,14.27134878,14.63589688,13.80928299,14.21312352,15.69439397,16.11566765,14.99409881,15.53359234,14.82327095,14.47645426,15.46288685,
Burkina Faso,BFA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.86615802,11.0910164,12.69900946,11.75281559,12.06365438,12.68569583,11.86432722,12.51525022,12.7204265,13.74683543,15.62610241,16.58528779,15.1613375
Bangladesh,BGD,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.611160271,6.691384191,6.965213904,7.046448418,7.135670039,7.043304058,6.917262669,7.656029883,7.498116263,7.834684749,8.685927392,,,
Bulgaria,BGR,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.83312845,22.33382461,16.90338645,15.21378387,21.23896499,20.06807448,17.02548231,16.63321018,16.16923434,17.17914165,17.54778301,16.79077716,16.00446904,17.87535871,20.61761039,20.93910694,21.78370589,21.76130733,22.06005086,19.71063146,18.29769011,17.91371812,18.60871325,,
Bahrain,BHR,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.187374245,5.041193755,5.39072996,5.349562727,5.173401874,4.796762972,5.042932705,5.097809027,5.664272504,5.013055032,3.732774434,4.103637924,3.564633895,3.306810726,4.216838363,1.161845378,1.166156455,1.145097962,1.235816863,1.363166786,1.176228436,1.103893772,,1.05824811,
"Bahamas, The",BHS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.88222191,21.68672856,21.39744969,20.31410773,18.9605014,19.70001406,20.32242602,20.50072385,19.77788857,19.81726996
Belarus,BLR,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.44348296,26.63094223,24.74990446,19.88771245,18.79975521,20.7345853,17.1123265,16.67247785,16.6247345,15.75466424,14.20103832,17.68812191,18.3713469,20.14965628,22.22309662,23.72669873,25.35338921,19.25962841,16.9158136,15.0015968,15.14021071,,
Belize,BLZ,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.40612517,20.71097425,19.93558572,19.52190577,19.91611802,18.75293079,19.5388471,19.65523146,19.69840163,17.40151093,17.82759422,18.70201498,19.29978478,19.17478669,19.66332656,21.3042923,21.78456693,22.92307216,21.6991117,22.48112271,23.59665208,22.5706749,22.64439846,,
Bermuda,BMU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,8.258112941,8.019954351,7.949052639,7.280551571,7.094742942,7.23622456,7.932729699,8.899788616,9.516345517,10.04546839,9.722329464,12.29385246,12.62034606,13.54652906,12.03978514,12.3308029,11.78254596,13.18410486,12.97300023,15.01634882,16.21516419,16.81616822,16.9648658,,,,,,,
Brazil,BRA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.00912428,9.529726486,9.733795399,10.50015032,11.64282051,,,10.19550693,11.95228813,13.16767168,13.77484517,14.5597576,15.72007144,15.24437822,15.75278049,16.52897433,16.18238324,15.83067805,15.50901086,14.38296114,14.19470597,14.9081705,14.09373497,,
Barbados,BRB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.73854962,25.26106132,26.19970494,24.77938361,26.69069359,26.48024933,23.98159804,25.18267352,27.72265166,26.14155803,25.1927342,
