Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.32939847,23.99685137,50.31493557,44.07351127,50.60729156,59.06966102,41.03231204,,,,
Angola,AGO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.652446,21.8507895,29.01577564,25.8357191,32.51881138,19.36056851,27.27024372,23.85689398,22.48268015,23.5451389,23.75546587,26.06239051,28.63714226,26.03417464,,,,
Albania,ALB,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.55207048,20.34532704,24.48360314,28.24537392,,,,24.34470935,22.36161425,22.38826872,,,,,,,,,,,,
Arab World,ARB,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.053873636,6.548788474,6.200060621,,,,,,,,,,,,4.150830844,4.261616545,4.041261618,3.93122396,,
Argentina,ARG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.41467909,16.95599885,18.14644052,17.1482193,17.04242538,21.13968517,23.86191799,22.99736235,22.56801632,21.37365185,,,,
American Samoa,ASM,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.56702563,23.10012704,25.26733533,21.9313117,22.79884378,20.91789102,22.3205568,21.53412422,21.0646711,23.99834465,22.05511535,23.42679884,20.64422653,,,,
Australia,AUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,18.09858046,18.50369148,18.18242189,21.32277439,23.70414913,23.67502579,24.55921078,23.75691074,23.41659532,23.60976829,23.33994279,25.62838263,26.51678862,26.49082178,26.19690051,25.7495634,24.23683204,22.2133706,21.84906183,23.19443607,24.45693938,24.98355737,25.09220664,,,,,24.56375969,24.0996295,26.36095635,26.47560089,25.86197422,25.69987937,25.64123701,24.94371119,24.49891122,24.33525958,26.49963169,26.79008357,25.98115329,26.25827775,26.03682933,26.49500372,,
Austria,AUT,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,25.97798333,27.67876867,27.9712581,31.18359842,31.69551141,31.48951942,33.93349531,33.40289094,33.55477509,34.64891299,35.08114558,35.50152435,35.79135139,35.65889751,36.36229864,36.94458307,37.2597004,35.83980157,35.6772164,36.12964614,36.7857658,38.85006151,38.76830908,48.30916438,48.33345458,47.14078427,46.86794072,46.70614983,45.83353581,46.20091135,45.56738509,45.71383636,48.2791455,45.6261777,44.9505963,43.78565361,44.4132418,47.70394925,46.25058761,45.34374592,45.97246945,46.39937212,47.70772956,,
Azerbaijan,AZE,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.19971421,19.82696598,15.80770976,16.22147498,18.76773954,19.00964218,,,,,,,,,18.50776835,23.07880286,20.87248322,18.47836105,22.49300861,,,,
Burundi,BDI,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.02570104,27.69193313,28.25405902,25.18301693,23.62755937,22.71569745,,22.07828586,20.64762846,,,,,,,,,,,,,,,,,
Belgium,BEL,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4248261,45.67337526,44.43193535,44.11143332,43.46085183,42.42396078,42.96431743,41.18153891,42.37371611,40.68383822,43.49437044,40.38847494,40.22305512,41.86473708,44.1532939,43.3925133,44.51224723,45.80838153,45.58466926,45.26208268
Benin,BEN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.48643559,10.80258337,12.02075073,11.30185046,12.09031178,12.48628187,12.06503609,13.12193571,13.20788148,13.29620214,12.41214383,12.90226346,12.83019706,
Burkina Faso,BFA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.18394813,10.46689059,11.44891998,11.47681748,12.61981086,13.84840228,12.10347198,12.62901528,11.91574007,12.41529935,14.5365285,13.68401116,14.29020166
Bangladesh,BGD,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.852792471,7.887123728,7.836050278,7.604976598,8.14262834,8.334937302,8.662793141,9.428781171,9.871583603,9.266251067,9.843433904,,,
Bulgaria,BGR,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.51548559,39.37288136,39.54880478,43.68350619,43.71518265,39.53343464,45.51569868,28.73887323,25.8528209,29.75765888,30.96720836,30.09261083,30.9979653,32.07062563,32.66552381,30.66740965,29.23277118,28.26443981,28.21570892,29.69510302,29.48551173,29.62277763,30.68649466,,
Bahrain,BHR,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.49647887,24.75082099,26.05799373,26.14943998,25.25078699,23.38365115,22.23336191,22.74117108,23.94305621,24.07310802,19.90226118,20.84114741,23.08866664,20.86628787,19.36914197,17.31359464,16.28968511,16.00542441,16.21778182,19.76249801,19.46755287,22.29599733,,23.10086907,
"Bahamas, The",BHS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.61092452,33.98797731,36.07897453,37.85335142,39.85442827,39.19186996,38.15008189,39.07686106,37.41539495,40.02578658
Belarus,BLR,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.47647377,36.3536719,29.94065148,28.74180619,27.7234267,27.21439707,25.90434019,27.05876945,25.3401651,26.8710549,24.67838383,28.212817,29.26987626,30.25076267,32.41348478,34.65778225,33.95036114,32.84861345,31.30754144,26.31320003,28.52134087,,
Belize,BLZ,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.62389541,16.95108672,18.21244287,19.73445957,21.10124974,18.6474708,18.70401155,19.59600917,19.81161042,19.87431018,17.86929732,21.51129435,19.78093765,24.12344121,25.42865246,25.04494918,25.64298435,25.57149317,23.27328268,25.1845375,25.27994416,24.68362574,22.49607791,,
Bermuda,BMU,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,11.97145406,12.16757973,11.67923743,13.06453664,14.19206565,14.52844137,17.56200121,20.37739203,18.97610038,17.70680029,18.83226278,19.68885406,19.67629716,20.50412019,20.55364904,24.24491675,28.78443521,28.2076377,27.21119876,25.98315319,23.93803933,21.81104345,,,,,,,
Brazil,BRA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.18727526,23.47084956,28.48322062,36.51037381,32.20728081,,,21.81558657,21.89450105,21.70985322,21.36809831,22.58163205,22.62731519,24.68838693,22.70053254,25.36901598,26.75622053,26.20878819,26.13597866,25.54000779,25.89365512,24.9196739,24.36267479,,
Barbados,BRB,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.44458015,25.2809788,27.54137636,26.35866106,30.08102245,32.17617398,32.9808292,35.00546277,34.49004779,37.96337978,38.80372544,
Brunei Darussalam,BRN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.55712377,19.64987106,18.19681039,17.73451473,19.46428748,20.15766384,23.33822811,19.62422067,17.1990696,18.09275956,19.18597454,20.1846474,18.49033443,18.54507294,16.98588705,19.75566974,19.29795989,18.38410573,22.56418968,23.28780974,,,,,
Botswana,BWA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.68160259,27.84054198,30.49874827,32.627981,29.0775366,30.62405637,28.96263706,,,,,,,,,,28.70070958,30.09057238,35.05119653,38.60812599,33.12416135,28.69994565,29.93042647,,
Central African Republic,CAF,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.661628513,,,,11.00608242,16.48351087,17.6074631,14.81550541,9.406368124,,
Canada,CAN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.41798176,25.55337219,25.12543513,23.72252558,23.44406875,22.26766376,20.39701207,20.20975253,19.80753761,18.78716958,18.74108399,17.97928794,18.05417035,17.26613571,17.82695896,17.01714306,16.94099643,17.12965456,18.89885253,18.83437587,18.05395944,17.48582407,17.2016808,16.70951926
Central Europe and the Baltics,CEB,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.57891531,33.96155482,30.9079831,30.48803168,30.10782873,30.05399832,29.93251454,31.40750459,31.98225577,35.61949029,34.57330705,34.24734926,33.97562335,33.03625975,33.85344658,35.67541407,35.44555803,34.53376546,34.03724266,33.03804947,26.7910154
Switzerland,CHE,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,17.19711803,16.51604953,17.27370252,17.70290303,17.79151638,,,,,,,20.63322754,22.31683747,23.60445556,23.54762202,23.7554728,24.72328102,24.72926804,24.95379451,24.51041086,23.47187033,17.01161899,17.85960165,18.27276469,18.12234492,17.73867783,16.83973647,16.22797579,15.75802612,16.71038964,16.56553324,16.49411828,16.33306152,17.1727667,
Channel Islands,CHI,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
