Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24250612199,25646905182,31355872126,51882246429,66593592311,75823714798,79297407099,,,,
Angola,AGO,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3969823050,36355137682,61474892530,1.4147E+11,2.94593E+11,4.35156E+11,6.49472E+11,1.1584E+12,1.1839E+12,1.92581E+12,1.14779E+12,1.48137E+12,1.9506E+12,2.07419E+12,,,,
Albania,ALB,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30167000000,29629954000,32817102000,56068290000,,,,1.00635E+11,1.16545E+11,1.3252E+11,,,,,,,,,,,,
Arab World,ARB,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2872000000,2990000000,3481000000,,,,,,,,,,,,4139235255,5004550467,5307334205,5266555943,,
Argentina,ARG,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27447E+11,2.67044E+11,3.21532E+11,3.82385E+11,5.02705E+11,6.1808E+11,5.18557E+11,5.90658E+11,6.5054E+11,7.46274E+11,,,,
American Samoa,ASM,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283700000,318000000,353200000,383200000,427200000,455000000,567600000,690900000,692400000,573400000,576500000,551400000,604200000,,,,
Australia,AUS,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,7948000000,8479000000,10900000000,14162000000,16920000000,19755000000,21438000000,23477000000,27478000000,32700000000,37961000000,41131000000,44902000000,52971000000,58840000000,66469000000,75073000000,83393000000,90774000000,92737000000,87365000000,88759000000,93359000000,,,,,1.39378E+11,1.52575E+11,1.75011E+11,1.77463E+11,1.94826E+11,2.0956E+11,2.29128E+11,2.45218E+11,2.61979E+11,2.85659E+11,2.78E+11,2.67161E+11,2.88066E+11,3.17864E+11,3.38369E+11,3.51512E+11,,
Austria,AUT,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,6629215933,7642275241,8794139663,9132068342,10004142352,11143652391,12296243541,13324564145,14333263083,15579602189,16073050733,16977100790,18747411030,18887669600,19748115957,20216129009,22209544850,22788020610,24732745652,26790113588,29476101538,30472446095,30995690501,42897890000,46797350000,50008740000,52191230000,53629520000,55383820000,61020510000,60454460000,61133440000,62975850000,64062820000,66314200000,71296730000,75742640000,71719860000,73782100000,77808460000,81531970000,84496250000,87091740000,,
Azerbaijan,AZE,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95770200,383104000,269173600,337742600,436245200,480700800,,,,,,,,,6591000000,5022200000,5162800000,6366900000,6995500000,,,,
Burundi,BDI,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32087000000,34117000000,34023000000,36498000000,41673000000,35358000000,39149000000,57419330000,61922750000,,,,,,,,,,,,,,,,,
Belgium,BEL,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53932400000,55778700000,59537100000,63187700000,65446200000,69926000000,70806100000,70260500000,70515500000,75801600000,78970700000,82219700000,85181800000,88826300000,82384200000,88843300000,93682100000,99626300000,1.02675E+11,1.04601E+11
Benin,BEN,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68913E+11,3.06843E+11,3.23931E+11,3.49593E+11,3.499E+11,3.82177E+11,4.49017E+11,5.14751E+11,5.02482E+11,5.36251E+11,5.46564E+11,5.99904E+11,6.96E+11,
Burkina Faso,BFA,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42778E+11,2.71103E+11,3.24604E+11,3.38646E+11,3.6868E+11,4.11682E+11,4.44671E+11,4.94579E+11,5.6575E+11,6.95634E+11,8.90778E+11,9.9261E+11,9.40682E+11
Bangladesh,BGD,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92608E+11,2.10297E+11,2.42612E+11,2.70086E+11,3.04746E+11,3.39725E+11,3.80311E+11,4.81321E+11,5.28671E+11,6.24846E+11,7.95482E+11,,,
Bulgaria,BGR,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10818000,30307000,33942000,45474000,111632000,176170000,306197000,3132022000,4164607500,4260406000,4898877580,5185259800,5438389000,6527413000,8474176000,9829294000,11652306000,13920759000,16124743000,14357970000,13500059000,14348878000,15174232000,,
Bahrain,BHR,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82500000,87500000,96300000,104600000,108300000,105500000,115700000,121700000,131700000,124800000,127200000,138500000,129100000,137700000,208500000,69760000,81140000,93560000,119470000,117570000,113720000,120551492.1,,130900000,
"Bahamas, The",BHS,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3509962721,4350400906,4823949756,5180963259,4698398595,4993262489,5326432261,5369765873,5289217551,5410978731
Belarus,BLR,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18900000,262400000,4403800000,24144200000,36065300000,76060700000,1.20156E+11,5.0452E+11,1.51847E+12,2.70558E+12,3.71191E+12,6.46763E+12,9.18417E+12,1.31108E+13,1.76156E+13,2.30541E+13,3.29064E+13,2.64709E+13,2.78225E+13,4.45784E+13,8.02969E+13,,
Belize,BLZ,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176836000,184212000,206628000,218590000,231371000,232589000,250638000,257214000,271441000,255013000,296677000,326111000,359961000,379795000,416017000,474746000,530429000,591664000,593959000,601126000,659344000,671122000,712673000,,
Bermuda,BMU,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,195400000,610300000,710200000,786700000,900600000,1117500000,1517700000,1959200000,2327600000,2776200000,3134000000,4614700000,5255600000,6342800000,5797900000,6403200000,6337870000,7473057692,8030864314,10455300000,12489538390,15428463543,17475369492,,,,,,,
Brazil,BRA,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1386909.091,5745090.909,62389618.18,1480218182,41541700000,,,97070300000,1.19804E+11,1.43226E+11,1.65173E+11,1.91571E+11,2.34039E+11,2.61891E+11,3.084E+11,3.58775E+11,3.89906E+11,4.30636E+11,4.823E+11,4.7939E+11,5.51585E+11,6.52032E+11,6.77333E+11,,
Barbados,BRB,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1620375000,1775600000,2042267000,2132761547,2426717861,2433534913,2207266284,2238991503,2416306319,2254970796,2157001902,
Brunei Darussalam,BRN,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231700000,281600000,328200000,447100000,503300000,649800000,844200000,868900000,1246390000,1265800000,1977100000,1916900000,2414588000,2713560000,2446597000,3014127000,3673222000,3718873000,4607218000,5654082000,,,,,
Botswana,BWA,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1939510000,2037100000,2435900000,2387500000,2277400000,2198700000,2407100000,,,,,,,,,,15919000000,17266840000,20454250000,20044980000,20504560000,24846060000,30045000000,,
Central African Republic,CAF,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41680154865,,,,73652850019,76892480359,89135596491,86631395622,1.04734E+11,,
Canada,CAN,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00816E+11,1.02613E+11,1.01802E+11,1.03257E+11,1.10368E+11,1.19161E+11,1.31893E+11,1.37757E+11,1.47937E+11,1.64093E+11,1.62026E+11,1.59353E+11,1.65643E+11,1.7788E+11,1.88604E+11,1.9939E+11,2.09343E+11,2.04861E+11,1.92104E+11,1.96396E+11,2.07122E+11,2.14701E+11,2.21683E+11,2.33123E+11
Central Europe and the Baltics,CEB,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,9561000000,10144000000,11269000000,11316000000,13155000000,12973000000,13819000000,13623000000,14976000000,16111000000,17753000000,18373000000,20042000000,20921000000,23780000000,23669000000,26300000000,26639000000,29161000000,29532000000,30745000000,28961000000,31832000000,32534000000,34529000000,35044000000,40152000000,39221000000,46795000000,43200000000,42982878781,43451221429,44943356977,47624987255,51015137309,53350389205,59502202325,57651086072,58397217001,60343080899,59306828628,60762567713,
Channel Islands,CHI,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,40000000,210000000,1570000000,7710000000,24830000000,56410000000,94570000000,1.4575E+11,2.1569E+11,2.708E+11,2.5469E+11,3.0222E+11,3.8703E+11,5.1632E+11,6.5529E+11,8.2076E+11,9.1708E+11,1.11216E+12,1.34357E+12,2.01202E+12,2.62367E+12,3.25063E+12,3.74272E+12,4.4006E+12,5.20263E+12,5.67283E+12,5.95234E+12,5.80579E+12,6.78497E+12,7.226E+12,7.78402E+12,8.34129E+12,9.91871E+12,1.2407E+13,1.5999E+13,1.83736E+13,1.75618E+13,1.40419E+13,1.9354E+13,2.30091E+13,2.46833E+13,2.39725E+13,2.52176E+13
China,CHN,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60518E+12,1.98751E+12,2.63918E+12,3.22483E+12,3.59302E+12,4.20858E+12,5.03203E+12,,,
Cote d'Ivoire,CIV,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.294E+11,,,,,1.0333E+12,,,,,,1.1741E+12,1.25933E+12,1.1901E+12,1.2414E+12,1.2512E+12,1.36434E+12,1.4682E+12,1.63301E+12,1.67356E+12,1.76558E+12,1.30925E+12,1.96823E+12,2.24623E+12,2.43994E+12
Cameroon,CMR,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2748E+11,2.9745E+11,3.1166E+11,3.0013E+11,2.9154E+11,3.8958E+11,,,6.4618E+11,6.9099E+11,,,,,,,,,,,,,,,
"Congo, Rep.",COG,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,17380000000,18690000000,35220000000,33500000000,,,,,91650000000,,,,,,,,,,,,1.141E+11,89200000000,81300000000,1.1875E+11,1.4467E+11,1.0328E+11,1.2539E+11,1.1263E+11,,1.88764E+11,1.76E+11,1.76823E+11,1.92762E+11,2.00448E+11,2.341E+11,2.65642E+11,3.1577E+11,3.80739E+11,4.5175E+11,,,,
Colombia,COL,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93077E+13,2.04263E+13,2.33967E+13,,,3.06629E+13,,,,,6.21022E+13,6.35756E+13,6.60607E+13,9.02281E+13,8.81588E+13,9.48539E+13,1.11303E+14
Comoros,COM,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18165293152,22149540184,25500757750,28668926543,25029799147,,,,,
Costa Rica,CRI,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,940000000,1270000000,1800000000,2090000000,2520000000,3240000000,3820000000,4110000000,4810000000,7070000000,12340000000,19680000000,23990000000,26270000000,32690000000,41070000000,51420000000,58370000000,68270000000,93270000000,1.3796E+11,1.6397E+11,1.9075E+11,2.5468E+11,3.0668E+11,3.7009E+11,4.5133E+11,5.3485E+11,5.941E+11,7.02E+11,7.9746E+11,9.354E+11,1.08877E+12,1.30587E+12,1.60748E+12,2.06342E+12,2.46903E+12,2.32367E+12,2.56486E+12,2.85625E+12,3.11288E+12,3.41632E+12,3.65294E+12
Caribbean small states,CSS,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,60330716.89,75537269.72,62056404.35,58792975.6,69147100.33,95647508.69,117517607.1,152800226.9,192098060.1,206450312.2,249387466.4,299210284.4,368630761,419290793.7,456828767.4,496741697.1,592918872.2,707873577.2,1345192949,1325867058,1636511781,1860073221,2217135114,2418525340,2432535872,2448938446,2835253232,3133745904,3764732416,4154122684,4349074109,4831754016,5168006780,5867508210,6646288747,8504221954,8753165184,4341900000,4486600000,4597100000,4526400000,4225100000,4280400000
Czech Republic,CZE,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23364E+11,2.29361E+11,2.50581E+11,2.76676E+11,2.87777E+11,3.0618E+11,3.29896E+11,3.37908E+11,3.74278E+11,3.88357E+11,4.16097E+11,4.41837E+11,4.64318E+11,4.72269E+11,5.36808E+11,5.46974E+11,4.88183E+11,5.10721E+11,5.25606E+11,5.44375E+11,,
Germany,DEU,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,52709080033,59442794108,61718042979,61994140595,68052949387,74796889300,79797323898,85728309720,90815663938,93019331946,94369142512,98101573245,1.07525E+11,1.12433E+11,1.15445E+11,1.20312E+11,1.23508E+11,1.37855E+11,1.43903E+11,1.84424E+11,2.00058E+11,2.0066E+11,2.13652E+11,2.17459E+11,2.09449E+11,2.10461E+11,2.18287E+11,2.37036E+11,2.46863E+11,2.38151E+11,2.38205E+11,2.43241E+11,2.35897E+11,2.43864E+11,2.58821E+11,2.833E+11,2.91805E+11,2.8436E+11,2.86794E+11,3.09285E+11,3.18816E+11,3.25723E+11,3.36326E+11
Djibouti,DJI,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182100000,162900000,162000000,179400000,205200000,229300000,247900000,285500000,307400000,320600000,327900000,311900000,302700000,,
